,Latitude,Longitude,X,Y,Restaurants_nearby,closest_punjabi_restro
447,28.625982405580345,77.22336281882373,7114996.987048123,5500056.021572149,0,373.3056446049478
448,28.625598269836395,77.22383771212571,7115096.987048123,5500056.021572149,0,304.1654329028193
449,28.625214137039535,77.22431259613772,7115196.987048123,5500056.021572149,0,256.27351960747586
450,28.624830007189864,77.22478747086,7115296.987048123,5500056.021572149,1,242.56055559601432
451,28.62444588028746,77.22526233629273,7115396.987048123,5500056.021572149,0,268.3190813380424
452,28.624061756332406,77.22573719243613,7115496.987048123,5500056.021572149,0,324.27555518283344
453,28.62367763532477,77.22621203929043,7115596.987048123,5500056.021572149,0,397.8870970114245
454,28.62329351726464,77.22668687685585,7115696.987048123,5500056.021572149,0,481.1170837199845
455,28.622909402152096,77.2271617051326,7115796.987048123,5500056.021572149,0,569.7658769409295
456,28.62252528998722,77.22763652412088,7115896.987048123,5500056.021572149,0,604.7159956195803
457,28.622141180770093,77.22811133382092,7115996.987048123,5500056.021572149,0,507.4585968028403
458,28.621757074500792,77.22858613423293,7116096.987048123,5500056.021572149,0,411.51794563546684
459,28.621372971179394,77.22906092535713,7116196.987048123,5500056.021572149,0,318.0877421262291
460,28.620988870806,77.22953570719372,7116296.987048123,5500056.021572149,1,230.24466074567255
461,28.620604773380663,77.23001047974296,7116396.987048123,5500056.021572149,1,157.62422375008623
462,28.62961060156767,77.21970293199514,7114146.987048123,5500142.624112528,6,106.53713535017526
463,28.629226435018765,77.22017789998407,7114246.987048123,5500142.624112528,4,17.499948474884864
464,28.628842271416364,77.22065285868115,7114346.987048123,5500142.624112528,4,95.07989634864892
465,28.62845811076055,77.22112780808664,7114446.987048123,5500142.624112528,3,134.08947139480492
466,28.628073953051395,77.22160274820075,7114546.987048123,5500142.624112528,2,216.6097550624316
467,28.627689798288998,77.22207767902368,7114646.987048123,5500142.624112528,1,233.66833123089503
468,28.627305646473413,77.22255260055564,7114746.987048123,5500142.624112528,0,265.402329234249
469,28.626921497604737,77.22302751279689,7114846.987048123,5500142.624112528,0,325.9998523093196
470,28.626537351683048,77.2235024157476,7114946.987048123,5500142.624112528,0,368.5835421166436
471,28.626153208708434,77.22397730940801,7115046.987048123,5500142.624112528,0,281.0931052130156
