,Address,Latitude,Longitude,Distance_from_center
158,"State Entry Road, Shankar Market, New Delhi Railway Station, Chanakya Puri Tehsil, New Delhi, Delhi, 8572",28.63921541006815,77.21963015222622,866.2841584203668
159,"Minto Bridge, Vivekanand Marg, Chanakya Puri Tehsil, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110001",28.6369097579602,77.22248009435984,681.5638280073281
160,"Central Government Residential Complex, Rouse Avenue, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110 001",28.63460421195147,77.22532970192749,681.5389254379717
161,"The Lalit, Babar Road, Shankar Market, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.632298772059357,77.22817897497572,866.1892067210574
162,"New Janta Book Depot, Babar Road, Shankar Market, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.629993438301298,77.23102791355109,1149.7094833872952
163,"Safal, Safdar Hashmi Marg, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.627688210694675,77.2338765177001,1476.1697450805702
164,"Sikandra Road, Chanakya Puri Tehsil, New Delhi, Delhi, 110 001",28.625383089256893,77.23672478746926,1822.6235911970869
165,"Supreme Court, Tilak Marg, Chanakya Puri Tehsil, New Delhi, Delhi, 020626",28.62307807400531,77.23957272290512,2179.543110978281
166,"Supreme Court, Tilak Marg, Chanakya Puri Tehsil, New Delhi, Delhi, 020626",28.620773164957324,77.24242032405418,2542.512288066592
167,"Pragati Maidan, Bhairon Marg, Chanakya Puri Tehsil, New Delhi, Delhi, 110503",28.618468362130287,77.24526759096292,2909.256918072537
168,"Idgah, Idgah Road, Ahata Kidara, Old Delhi, Delhi, Civil Lines Tehsil, Central Delhi, Delhi, 110006",28.65407698419148,77.20621386518307,2823.517921428151
169,"Jhandewalan Road, Motia Khan, Karol Bagh Tehsil, Central Delhi, Delhi, 8572",28.651770541459747,77.2090654938748,2472.4089448761065
170,"Arya Nagar, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110055",28.64946420474975,77.21191678774017,2130.6310165752225
171,"Arya Nagar Road, Ram Nagar, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 8572",28.64715797407899,77.21476774682574,1803.4795156056318
172,"Basti Ara Kashan, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 8572",28.644851849464896,77.21761837117812,1500.5308383709737
173,"8-9, State Entry Road, Shankar Market, New Delhi Railway Station, Chanakya Puri Tehsil, New Delhi, Delhi, 8572",28.642545830924917,77.22046866084386,1239.6326631344161
